id,DOI,URL,abstract,alternative_id,archive,article_number,container_title,created_date_parts,created_date_time,created_timestamp,deposited_date_parts,deposited_date_time,deposited_timestamp,indexed_date_parts,indexed_date_time,indexed_timestamp,is_referenced_by_count,issue,issued,issued_date_parts,issued_date_time,issued_timestamp,language,member,original_title,page,prefix,published_online_date_parts,published_online_date_time,published_online_timestamp,published_print_date_parts,published_print_date_time,published_print_timestamp,publisher,publisher_location,reference_count,references_count,score,short_container_title,short_title,source,subtitle,title,type,update_policy,volume,fk
1,10.1192/bjp.171.6.519,http://dx.doi.org/10.1192/bjp.171.6.519,"<jats:sec><jats:title>Background</jats:title><jats:p>It is widely suggested that many National Health Service (NHS) workers experience high levels of minor psychiatric disorder. However, inadequacies of sampling and measurement in studies to date have not allowed this suggestion to be properly evaluated.</jats:p></jats:sec><jats:sec><jats:title>Method</jats:title><jats:p>The present study was designed to overcome these methodological weaknesses by using a sample of over 11 000 employees from 19 NHS trusts and a well-established measure of minor psychiatric disorder for which there are comparative data.</jats:p></jats:sec><jats:sec><jats:title>Results</jats:title><jats:p>The findings show that 26.8% of the health service workers reported significant levels of minor psychiatric disorder, compared with 17.8% of people in the general population. Psychiatric morbidity was highest among managers, doctors, nurses and professions allied to medicine, with each of these groups recording higher rates than their professional counterparts outside the health service. It was lower among those in support occupations, such as administrative and ancillary staff. A feature of the findings was that female doctors and managers showed a much higher prevalence of minor psychiatric disorder than their male colleagues.</jats:p></jats:sec><jats:sec><jats:title>Conclusion</jats:title><jats:p>Studies are required to establish the organisational, occupational and individual determinants of minor psychiatric disorder among NHS employees.</jats:p></jats:sec>",S0007125000148573,NULL,NULL,British Journal of Psychiatry,10/15/2008,2008-10-15 05:36:00,1.22E+12,5/11/2019,2019-05-11 19:51:00,1.56E+12,5/7/2020,2020-05-07 22:04:00,1.59E+12,179,6,NULL,1997/12,NULL,NULL,en,170,None,519-523,10.1192,1/2/2018,NULL,NULL,1997/12,NULL,NULL,Royal College of Psychiatrists,NULL,20,20,1,Br J Psychiatry,None,Crossref,None,Minor psychiatric disorder in NHS trust staff: Occupational and gender differences,journal-article,NULL,171,1
2,10.1177/070674379704200909,http://dx.doi.org/10.1177/070674379704200909,NULL,10.1177/070674379704200909,NULL,NULL,The Canadian Journal of Psychiatry,1/6/2017,2017-01-06 01:32:00,1.48E+12,1/10/2018,2018-01-10 09:38:00,1.52E+12,5/13/2020,2020-05-13 02:23:00,1.59E+12,42,9,NULL,1997/11,NULL,NULL,en,179,None,966-973,10.1177,11/30/2016,NULL,NULL,1997/11,NULL,NULL,SAGE Publications,NULL,36,36,1,Can J Psychiatry,None,Crossref,None,Depression in Primary Care—More like Asthma Than Appendicitis: The Michigan Depression Project,journal-article,NULL,42,2
3,10.1080/014311697216621,http://dx.doi.org/10.1080/014311697216621,NULL,10.1080/014311697216621,NULL,NULL,International Journal of Remote Sensing,7/26/2002,2002-07-26 15:40:00,1.03E+12,10/5/2018,2018-10-05 14:58:00,1.54E+12,3/31/2020,2020-03-31 04:03:00,1.59E+12,3,18,NULL,1997/12,NULL,NULL,en,301,None,3797-3810,10.108,11/25/2010,NULL,NULL,1997/12,NULL,NULL,Informa UK Limited,NULL,0,0,1,International Journal of Remote Sensing,None,Crossref,None,Global prediction of area change of suitable regions for cereal cultivation caused by global warming,journal-article,NULL,18,3
4,10.1111/j.1469-7793.1997.259bc.x,http://dx.doi.org/10.1111/j.1469-7793.1997.259bc.x,NULL,NULL,Portico,NULL,The Journal of Physiology,9/30/2004,2004-09-30 07:21:00,1.1E+12,4/3/2020,2020-04-03 07:21:00,1.59E+12,6/3/2020,2020-06-03 05:24:00,1.59E+12,75,1,NULL,1997/11,NULL,NULL,en,311,None,259-266,10.1113,9/30/2004,NULL,NULL,1997/11,NULL,NULL,Wiley,NULL,33,33,1,None,None,Crossref,None,Mental rehearsal of motor tasks recruits α-motoneurones but fails to recruit human fusimotor neurones selectively,journal-article,NULL,505,4
5,10.1146/annurev.ecolsys.28.1.621,http://dx.doi.org/10.1146/annurev.ecolsys.28.1.621,NULL,10.1146/annurev.ecolsys.28.1.621,NULL,NULL,Annual Review of Ecology and Systematics,7/27/2002,2002-07-27 11:40:00,1.03E+12,3/5/2020,2020-03-05 09:23:00,1.58E+12,7/4/2020,2020-07-04 21:23:00,1.59E+12,1382,1,NULL,1997/11,NULL,NULL,en,22,None,621-658,10.1146,NULL,NULL,NULL,1997/11,NULL,NULL,Annual Reviews,NULL,274,274,1,Annu. Rev. Ecol. Syst.,None,Crossref,None,THE ECOLOGY OF INTERFACES:Riparian Zones,journal-article,NULL,28,5
6,10.1136/bjsm.31.4.269,http://dx.doi.org/10.1136/bjsm.31.4.269,NULL,NULL,NULL,NULL,British Journal of Sports Medicine,12/16/2008,2008-12-16 00:55:00,1.23E+12,2/2/2019,2019-02-02 12:29:00,1.55E+12,4/13/2020,2020-04-13 12:57:00,1.59E+12,23,4,NULL,12/1/1997,NULL,NULL,en,239,None,269-276,10.1136,NULL,NULL,NULL,12/1/1997,NULL,NULL,BMJ,NULL,85,85,1,British Journal of Sports Medicine,None,Crossref,None,Sudden death from cardiovascular disease in young athletes: fact or fiction?,journal-article,NULL,31,6
7,10.1007/s004210050268,http://dx.doi.org/10.1007/s004210050268,NULL,XNUX1N3YERHXQ2LF,NULL,NULL,European Journal of Applied Physiology,8/25/2002,2002-08-25 08:36:00,1.03E+12,5/28/2019,2019-05-28 20:32:00,1.56E+12,3/25/2020,2020-03-25 15:22:00,1.59E+12,54,5,NULL,10/1/1997,NULL,NULL,NULL,297,None,400-408,10.1007,NULL,NULL,NULL,10/1/1997,NULL,NULL,Springer Science and Business Media LLC,NULL,0,0,1,European Journal of Applied Physiology,None,Crossref,None,Effects of contract-relax stretching training on muscle performance in athletes,journal-article,NULL,76,7
8,10.1210/jc.82.12.4020,http://dx.doi.org/10.1210/jc.82.12.4020,NULL,NULL,NULL,NULL,Journal of Clinical Endocrinology & Metabolism,2/25/2004,2004-02-25 21:56:00,1.08E+12,12/2/2016,2016-12-02 22:06:00,1.48E+12,4/8/2020,2020-04-08 03:09:00,1.59E+12,24,12,NULL,12/1/1997,NULL,NULL,en,80,None,4020-4027,10.121,NULL,NULL,NULL,12/1/1997,NULL,NULL,The Endocrine Society,NULL,0,0,1,Journal of Clinical Endocrinology & Metabolism,None,Crossref,None,Thyroid Nodules in the Follow-Up of Irradiated Individuals: Comparison of Thyroid Ultrasound with Scanning and Palpation,journal-article,NULL,82,8
9,10.1007/bf00703440,http://dx.doi.org/10.1007/bf00703440,NULL,BF00703440,NULL,NULL,Archives of Orthopaedic and Trauma Surgery,11/30/2004,2004-11-30 15:43:00,1.1E+12,4/4/2020,2020-04-04 12:07:00,1.59E+12,4/4/2020,2020-04-04 12:40:00,1.59E+12,14,2-Jan,NULL,1998,NULL,NULL,en,297,None,50-52,10.1007,NULL,NULL,NULL,1998,NULL,NULL,Springer Science and Business Media LLC,NULL,12,12,1,Arch Orthop Trauma Surg,None,Crossref,None,Report of eight cases of humeral fracture following the throwing of hand grenades,journal-article,NULL,117,9
10,10.1006/mpev.1997.0423,http://dx.doi.org/10.1006/mpev.1997.0423,NULL,S1055790397904231,NULL,NULL,Molecular Phylogenetics and Evolution,9/18/2002,2002-09-18 19:46:00,1.03E+12,5/8/2019,2019-05-08 13:51:00,1.56E+12,3/25/2020,2020-03-25 14:35:00,1.59E+12,15,3,NULL,1997/12,NULL,NULL,en,78,None,363-374,10.1006,NULL,NULL,NULL,1997/12,NULL,NULL,Elsevier BV,NULL,55,55,1,Molecular Phylogenetics and Evolution,None,Crossref,None,CytochromeBSequences Suggest Convergent Evolution of the Asian Takin and Arctic Muskox,journal-article,NULL,8,10
